Fecha (UTC),Latitud,Longitud,Profundidad,Magnitud
2021-07-25 01:45:35,-19.87,-69.9,56,3.1
2021-07-21 16:23:56,-21.71,-68.71,108,5
2021-07-10 02:28:59,-21.38,-69.89,59,4.2
2021-07-09 05:05:31,-20.34,-68.73,114,5
2021-07-08 20:38:33,-28.75,-71.53,35,5.4
2021-07-08 10:30:39,-18.47,-71.26,50,5.1
2021-07-04 01:29:15,-28.77,-71.59,34,5.8
2021-07-04 01:01:37,-28.8,-71.57,25,5.8
2021-07-03 07:58:47,-20.25,-69.22,85,4.3
2021-06-27 22:03:53,-22.27,-69.98,65,3.9
2021-06-25 03:56:04,-22.08,-70.1,43,3.8
2021-06-24 23:36:39,-20.01,-69.16,92,4.5
2021-06-22 19:16:26,-32.1,-71.19,77,5.3
2021-06-22 09:23:04,-22.49,-70.32,36,4.3
2021-06-08 07:42:24,-29.99,-70.72,70,4.9
2021-06-04 14:46:26,-21.44,-70.49,61,4.8
2021-05-30 07:54:19,-28.66,-70.44,88,3.6
2021-05-27 13:30:52,-27.04,-70.73,69,4.3
2021-05-25 06:28:49,-33.9,-70.36,112,4.7
2021-05-23 21:58:59,-33.29,-71.36,60,4.7
2021-05-23 13:23:11,-28.7,-70.38,92,4.1
2021-05-19 20:11:30,-27.46,-69.45,109,4.3
2021-05-19 14:45:27,-31.49,-71.65,32,3.8
2021-05-14 00:40:19,-29.68,-71.25,54,3.9
2021-05-11 11:23:46,-20.15,-69.12,101,3.8
2021-05-05 07:48:53,-41.78,-73.92,36,3.1
2021-05-05 06:41:15,-41.81,-73.74,38,3.3
2021-05-04 15:18:22,-33.9,-72.54,20,4.4
2021-05-02 06:57:38,-30.12,-71.56,38,5.9
2021-04-30 20:06:37,-29.06,-71.59,47,4.6
2021-04-27 11:18:52,-20.04,-69.31,100,4
2021-04-24 18:14:18,-27.53,-71.19,31,4.2
2021-04-22 00:17:15,-33.99,-72.43,34,5.2
2021-04-21 21:55:03,-33.24,-70.56,59,3.9
2021-04-20 10:33:36,-31.35,-71.68,40,3.4
2021-04-19 15:02:10,-33.99,-72.26,38,4.3
2021-04-19 13:05:28,-34.02,-72.26,37,4.9
2021-04-19 11:13:29,-34.01,-72.34,38,5
2021-04-19 04:11:28,-34.0,-72.3,34,5
2021-04-19 03:18:58,-34.02,-72.42,39,5.3
2021-04-19 00:27:33,-17.74,-70.68,24,4.9
2021-04-18 02:15:13,-62.35,-58.45,11,5
2021-04-14 05:12:01,-20.07,-69.88,69,3.6
2021-04-10 07:52:48,-37.95,-73.72,39,5.3
2021-04-10 07:14:01,-62.3,-58.39,5,5.1
2021-04-09 06:53:19,-29.68,-69.83,130,4.5
2021-04-09 02:02:10,-33.81,-70.29,114,4.5
2021-04-04 10:08:19,-27.41,-70.95,36,3.7
2021-04-04 04:17:24,-28.98,-71.86,45,4.6
2021-04-02 23:57:42,-31.82,-71.31,59,4.3
2021-04-01 06:01:50,-29.3,-71.28,61,4.1
2021-03-27 20:17:13,-19.85,-69.91,64,4.6
2021-03-25 05:39:23,-28.63,-70.54,107,4.5
2021-03-25 02:18:47,-30.44,-71.58,28,4.4
2021-03-24 20:21:43,-28.44,-71.26,44,4.3
2021-03-22 13:04:33,-34.13,-71.16,71,4.2
2021-03-21 14:33:26,-22.03,-70.35,25,3.1
2021-03-21 01:18:48,-20.12,-70.51,44,3.9
2021-03-16 03:53:56,-34.8,-71.8,42,5
2021-03-08 12:48:06,-32.22,-70.09,128,5.3
2021-02-25 02:51:30,-33.89,-72.13,34,3.7
2021-02-23 19:15:04,-20.11,-68.95,96,4
2021-02-23 06:18:49,-31.75,-71.52,43,4.6
2021-02-21 17:40:23,-31.5,-71.76,21,4
2021-02-19 11:49:04,-33.24,-70.22,115,4.7
2021-02-19 06:54:29,-29.35,-71.6,47,5
2021-02-18 05:28:04,-31.31,-71.5,56,3.2
2021-02-17 12:14:50,-29.28,-69.61,125,4.8
2021-02-15 22:43:07,-20.07,-70.26,44,3.4
2021-02-15 09:56:06,-19.76,-69.38,95,4.3
2021-02-14 21:09:54,-21.4,-69.78,49,3.9
2021-02-14 08:46:38,-31.5,-71.16,47,3.5
2021-02-13 18:49:42,-20.51,-70.59,41,5.2
2021-02-12 09:50:22,-30.71,-71.4,44,4.7
2021-02-12 09:43:28,-33.54,-71.53,49,4.2
2021-02-10 20:18:29,-31.77,-71.25,52,5.2
2021-02-09 11:28:21,-18.59,-69.89,92,4.6
